ru	en
Начать играть	TAP TO PLAY
Магазин	Shop
Срочные монетки!	Urgent coins!
Просмотрите рекламу и получите монеты	View ads and get coins
Больше здоровья	More health
Уже в наличии	Already in stock
С начала игры дает вам дополнительное здоровье в размере 50 ед.	From the start of the game, grants you 50 additional health.
Больше скорости	More speed
С начала игры дает вам дополнительную скорость бега.	From the start of the game, gives you additional running speed.
Больше урона	More damage
С начала игры дает вам дополнительный урон в размере 20 ед.	From the start of the game, grants you an additional 20 damage.
Быстрее стреляй	Shoot faster
С начала игры дает вам дополнительную скорость стрельбы.	From the start of the game, gives you an additional rate of fire.
Больше монет	More coins
Увеличивает ваш доход с монстров в 2 раза.	Increases your income from monsters by 2 times.
Успешная покупка!	Successful purchase!
Вам не хватает денег для покупки	You don't have enough money to buy
Простите, но вы уже купили этот товар	I'm sorry, but you already bought this item
Успешно получено	Successfully received
Спасибо что Вы с нами!	Thank you for being with us!
Хотите увидеть другие игры от ZFGinc?	Want to see other games from ZFGinc?
Посмотреть	Follow
Награда за ежедневный вход!	Daily login reward!
Выберите начальные карты	Choose starting cards
Начать	Start
Вы проиграли	Game Over
Продолжить	Continue
Заново	Replay
Меню	Menu
Пауза	Pause
Больше здоровья!	More health!
Быстрая регенерация	Fast regeneration
Быстрый бег!	Fast run!
Больше урона!	More damage!
Стреляй быстреееее!	Shoot faster!
Новое оружие!	New weapon!
Увеличивает максимальный запас здоровья	Increases maximum health
Увеличивает скорость регенерации здоровья	Increases health regeneration rate
Увеличивает скорость бега игрока	Increases the player's running speed
Увеличивает урон с любого оружия	Increases damage from any weapon
Увеличивает скорость стрельбы	Increases firing speed
Получите новое оружие получше	Get new better weapons
Карточки	Cards
Скины	Skins
Уже в наличии: 1	Already in stock: 1
Стандартный	Standard
Слизеголовый	Slimehead
Робот	Robot
Космонавт	Astronaut
Котяра	Cat
Выбрать	Choose
Босс Слизь	Slime Boss
Босс Друид	Norsu Boss
Бомбик	Bombling
Демон	Demon
Огненный дух	Fiery spirit
Мошка	Fly
Ледяной дух	Frosy spirit
Голем	Golem
Друид	Norsu
Мышь	Rat
Скелет	Skeleton
Слизь	Slime
Павук	Spider
Мучитель	Tormentor
Зомби	Zombie
Простите, но похоже у вас проблемы с подключение к интернету!	I'm sorry, but it looks like you're having trouble connecting to the internet!
